name,region,name_post,vehicles_names,organization_group,id,incomes,apartments,land,assets
Фрунза Крістіна Андріянівна,3,"Сімейний лікар, Їжівська АЗПСМ",null,n,nacp_6be1964e-b5ec-4cde-9bd6-69bfd64ff66e,53172,10700,4929,0
Водвуд Іван Богданович,22,"Начальник лікарні ветеринарної медицини, Підгаєцька районна державна лікарня ветеринарної медицини",ваз 2101/мтз 80,n,nacp_e1949822-0078-4700-881a-c94efa05d70e,99355,10380,0,0
Каленюк Анатолій Федорович,10,"Головний лікар, Комунальний заклад ""Обласна психіатрична лікарня с.Орлівка"" Рівненської обласної ради",Hyundai Tucson,n,nacp_c4be1f32-7f70-42c8-8ff9-6f1d92b1c6fe,609973,9854,20054,0
Мороз Галина Іванівна,13,"Головний лікар, ОБЛАСНИЙ СПЕЦІАЛІЗОВАНИЙ ДИТЯЧИЙ ПУЛЬМОНОЛОГІЧНИЙ САНАТОРІЙ ""МАЛЯТКО""",Honda Accord 2.4 i/Mazda  Mazda 3,n,nacp_c72ac6f9-194b-40b1-bcbb-4df21962ed3b,336062,8926,6633,1675830
Митяй Світлана Василівна,12,"Провідний лікар хімік-токсиколог, Макарівська районна державна лікарня ветеринарної медицини",null,n,nacp_94347a68-216e-47da-bb7d-15b162cb7713,110998,8690,56460,0
Бабаніна Наталія Петрівна,2,"Завідувач лабораторії, Львівська міська державна лікарня ветеринарної медицини",null,n,nacp_d82c1f0b-9836-4614-8d22-d300bacf9b4d,67214,7610,0,0
Ковтун Петро Ілліч,22,"Завідуючий Загір""янською дільницею ветеринарної медицини, Зборівська районна державна лікарня ветеринарної медицини ",Москвич-412 М-412,n,nacp_78b41154-4e89-420e-b5c9-5c7f83969ce5,86791,7490,79400,0
Шкільова Вікторія Анатоліївна,8,"Головний лікар, Комунальний заклад ""Дніпропетровська міська студентська поліклініка"" Дніпропетровської обласної ради""",ГАЗ 2410 седан/Mercedez-Benz GLE-250D,n,nacp_be489db4-c2ff-4299-a72b-40c1ae05e84d,2836360,7424,37524,300000
Іваніна Світлана Вікторівна,24,"Завідуюча Родниківським пунктом ветеринарної медицини, Олександрівська районна державна лікарня ветеринарної медицини",null,n,nacp_6fd933d0-915b-48ae-928a-31594ae5eed1,26755,6964,0,0
Бірець Віктор Миколайович,24,"Ветеринарний лікар, Новгородківська районнв державна лікарня ветеринарної медицини",null,n,nacp_97d8a74b-dd74-4159-9977-54b9437f65a9,63656,6930,5070,0
Гайсюк Николай Константинович,3,"Зав. Тарашанської ДЛВМ, Глибоцька района державна лікарня ветеринарної медицини",Mersrdes vito 111,n,nacp_0affaf33-9a19-4211-8286-cc4a6d360ae9,77477,6560,2500,0
Босенко Татьяна Григорьевна,17,"Директор, лікар ветмедицини - серолог, Недригайлівська районна державна лабораторія ветеринарної медицини",DAEWOO LANOS,n,nacp_dcb98bac-19e5-44aa-af61-078989d710a7,121812,6400,0,0
Левченко Сергій Миколайович,14,"Начальник лікарні - лікар ветеринарної медицини, Вільнянська районна державна лікарня ветеринарної медицини",VOLKSWAGEN TIGUAN,n,nacp_1b0da384-edac-40f1-a75c-eb38e9d3e38d,217027,6245,20600,0
Тимусяк Вячеслав Миколайович,5,"Лікар ветеринарної медицини, Тульчинська міжрайонна державна лабораторія ветеринарної медицини",null,n,nacp_ce54701a-3e7b-4ebf-bd69-3f1be64d2fb7,87550,6231,0,0
Оводовська Олена Євгенівна,16,"Завідувач медичним пунктом-лікар, Військова частина А3160",ММВЗ 3.11213/ВАЗ 2111,n,nacp_0aa016ba-8ee9-46fe-a5d1-980bc6c27ea2,160980,6129,16360,136117
Дяченко Ріта Миколаївна,12,"Директор Макарівської районної державної лабораторії ветеринарної медицини, Макарівська районна державна лікарня ветеринарної медицини",DAEWOO LANOS,n,nacp_244a6077-b62d-458b-a1ba-e4c9a92f892e,168125,6054,2053,0
Мисько Галина Яковлівна,7,"Фельдшер ветеринарної медецини Жовтневої районної державної лікарні, Жовтнева районна державна лікарня ветеринарної медицини",ВАЗ 2107,n,nacp_a4425fcf-c74c-427b-9da5-fdbeaa50aedc,58670,5684,7,0
Черкасов Сергій Петрович,1,"Головний лікар, КЗОЗ ""Дворічанська ЦРЛ""",null,n,nacp_d856e4ef-e88a-44f1-a306-39555e2e02f5,307618,5555,22608,0
Боднар Андрій Мирославович,22,"Завідуючий Вербівської дільниці ветеринарної медицини, Підгаєцька районна державна лікарня ветеринарної медицини","DACIA LOGAN 1,4",n,nacp_3ac597a8-a37e-4a86-8a28-c25304463735,68118,5200,0,0
Скакальський Віталій Ярославович,22,"Завідувач Колосівської дільниці ветеринарної медицини, Кременецька районна державна лікарня ветеринарної медицини",null,n,nacp_654db1e7-b857-4cff-98a2-f69c912d3cea,70947,5180,1000,0
Мікуліна Олена Петрівна,1,"Помічник лікаря-епідеміолога відділу державного нагляду за дотриманням санітарного законодавства, Управління Держпродспоживслужби в Первомайському районі",null,n,nacp_4c0dee27-c476-4e5f-bc6a-29b9bcab6ee5,72679,5172,62559,62465
Козак Віктор Петрович,20,"Лікар - стоматолог, КП ""Білозерська цнтральна лікарня""",ЗАЗ 968Г,n,nacp_e1241236-61c6-4994-84a4-145bf9c58972,77330,5078,832,0
Константинов Федір Федорович,11,"ЛІКАР ВЕТЕРИНОРНОЇ МЕДИЦИНИ, Одеська регіональна служба держветсан контролю та нагляду на державному кордоні та транспорті",MITSUBSHI LANСER,n,nacp_9f33ae3c-0172-43f4-a864-cbba4ff86861,93291,5000,0,0
Шеремета Володимир Володимирович,2,"Завідуючий лабораторії ветеринарно-санітарної експертизи №10, Львівська міська лікарня ветеринарної медицини",шкода октавія/ваз 21013,n,nacp_31ed1513-f5f2-4c5a-ae85-219d743988bd,78625,4993,0,0
Щербюк Павло Петрович,22,"Завідувач Почаївської дільниці ветеринарної медицини, Кременецька Районна Державна лікарня ветеринарної медицини",ММВС Минськ 3.1135/VOLKSWAGEN CADDY,n,nacp_07724c27-55c1-42ee-b58b-a8281f0e35ce,55125,4394,0,0
Дубровик Володимир Миколайович,10,"Завідуючий, Деражненська лікарня державної ветеринарної медицини ", ІЖ-П3/ВАЗ 2105/Т-25/1ПТС-2,n,nacp_530720e1-b236-4372-8cd3-e0718397b332,125788,4376,0,0
Кіпень Микола Миколайович,18,"Завідуючий Черченською дільницею, Камінь-Каширська районна державна лікарня ветеринарної медицини",ВАЗ 21013/ЗАЗ TF69Y,n,nacp_d11a29f7-f3dc-4c70-848e-483e2b20a906,234586,4285,0,0
Кіпень Микола Йосипович,18,"Завідуючий Видрічівської дільниці, Камінь-Каширська районна державна лікарня ветеринарної медицини",ВАЗ 21013/ЗАЗ TF69Y,n,nacp_519c09f8-02cb-4a25-99fc-9abe1f44a440,234586,4285,0,0
Масляк Тарас Романович,19,"Головний лікар, Комунальний заклад Івано-Франківська центральна міська клінічна лікарня",PONTIAC  ФЛАЙ/ГАЗ 2410/Mercedes-Benz  GLE 250D 4 MATIC/ЗИЛ-ММ3  555,n,nacp_9f277ef0-be5c-4186-aa80-a818275be8d5,1092222,4254,15010,2329276
Матяш Володимир Олексійович,1,"Завідуючий Вільхуватською дільнічною лікарнею, Великобурлуцька державна лікарня ветеринарної медицини",ПГА-1,n,nacp_125ea42f-e775-4f20-8388-19de88244e07,140806,4094,0,0
Дяченко Валерій Вікторович,12,"Завідуючий Макарівської районної лабораторії ветеринарно-санітарної експертизи, Макарівська районна державна лікарня ветеринарної медицини",DAEWOO LANOS,n,nacp_ddb3e58d-8280-4664-95e1-cd57a8a5a969,168126,4054,2053,0
Бірюк Оксана Володимирівна,1,"Головний лікар, КЗОЗ ""Лозівське ТМО"" КЗОЗ ""Центр первинної медико-санітарної допомоги"" м.Лозова",null,n,nacp_091bca3b-884a-4b75-9924-489cf455e026,131205,3960,178371,0
Стецкова-єрмоленко Любов Володимирівна,16,"Завідувач дільниці , лікар ветеринарної медицини - епізотолог, Семенівська районна лікарня ветеринарної медицини",ВАЗ 21099/трактор jinma,n,nacp_1450c09d-4e0d-4bcb-b63f-757da36ba804,121033,3882,374,0
Міль Олег Михайлович,22,"Лікар-стоматолог, Санаторій Медобори",null,n,nacp_540688b0-dbd1-4f81-856d-21d2ad827112,29518,3779,1400,0
Скрипников Петро Миколайович,23,"Головний лікар, КУ ""Полтавський обласний центр стоматології-стоматологічна клінічна поліклініка"" Полтавської обласної ради",Mitsubishi Colt 1.3 AT,n,nacp_f14f41cc-7e7a-4dba-890d-b1535e511390,2504968,3750,9466,121408
Солтик Сергій Михайлович,11,"Головний лікар, Комунальна установа Овідіопольскої ради ""Овідіопольска центральна районна лікарня",nissan juke/тойота авалон,n,nacp_253f1768-bec5-4160-9c35-5bc9c60de9f2,294322,3569,7222,0
Палюх Наталія Михайлівна,22,"Завідувач АЗПСМ, сімейний лікар, КУТРР (Теребовлянський ЦПМСД) Лошнівська АЗПСМ ",null,n,nacp_2464ba51-08ca-4146-8105-42e8053d0590,112896,3550,3680,0
Собко Лариса Іванівна,14,"Завідуюча Григорівським пунктом ветеринарної медицини, Пологівська державна лікарня ветеринарної медицини",ВАЗ 211440,n,nacp_b8c2c211-6e0d-48d4-9d05-93c0a3dcb2e7,42717,3529,74599,0
Кошеля Іван Іванович,13,"Головний лікар, ДП ""Клінічний санаторій ""Карпати"" ПрАТ ""Укрпрофоздоровниця""",null,n,nacp_f04b7de2-ede7-4c81-a56d-29d11281570a,255126,3451,111815,600000
Хлопенко Світлана Анатоліївна,24,"Головний бухгалтер, Маловисківська районна лікарня ветеринарної медицини",null,n,nacp_1d7c10ed-9b8b-4b92-b999-00745aaac1f8,86835,3108,4,0
"Кулішенко Світлана В'ячеславівна",23,"Завідувач протиепізоотичним відділом, Полтавська районна державна лікарня ветеринарної медицини",null,n,nacp_1292b396-6940-42ae-b464-ad905b75d8bc,56272,3104,0,0
Яковенко Василь Іванович,21,"Головний лікар, Комунальний заклад ""Кам'янець-Подільський районний Центр первинної медико-санітарної допомоги""",ВАЗ 2101/ВАЗ 2103/МТЗ-80,n,nacp_a01172f1-873e-4318-bdb1-3e702e798457,230102,3076,27235,0
Литвиненко Галина Іванівна,17,"Головний лікар, КЛПЗ СОР СОС будинок дитини",KIA Cerato 1.6LX,n,nacp_5398e8ff-ec23-4b5a-9fbd-5c1aa6b1f384,395899,3068,20000,0
Фірман Володимир Володимирович,22,"Начальник лікарні, Гусятинська районна державна лікарня ветеринарної медицини",ЮМЗ-6/2ПТС-4(саморобний),n,nacp_af61c75f-9b28-4a96-b914-ec57fcc2b6a0,56972,3020,12600,0
Матвійчук Віктор Дмитрович,20,"Завідуючий ветпунктом,  Білозерська районна державна лікарня ветеринарної медицини",ВАЗ 2106,n,nacp_9c0a1be7-9022-4bbb-8c60-a5980d43a51f,10931536,3015,65700,0
Біла Вікторія Володимирівна,6,"Головний Лікар, Периинатальний Центр м.Київа",LEXUS RX350/AUDI Q7/infiniti EX25,n,nacp_edf5d666-2b68-4dee-82a3-6d04c53de32b,5680035,2833,0,263235
Радченко Іван Васильович,25,"Завідуючий відділенням, Комунальна установа Сєвєродонецька міська багатопрофільна лікарня педіатричне відділення",MITSUBISHI GALANT,n,nacp_91a43013-e59d-4b20-90c7-b11b2f6129ee,1323386,2764,1035,443881
Гудзь Наталія Ярославівна,6,"Голова, Державна служба України з лікарських засобів та контролю за наркотиками",Рено Флюенса/Рено-19 шамада,n,nacp_05834f76-a184-4810-9775-db0eea244b23,1394158,2705,36312,160000
Грек Олександр Васильович,12,"Завідуючий Шпитьківською державною дільничною лікарнею ветеринарної медицини, Києво-Святошинська районна державна лікарня ветеринарної медицини",ПГМФ 8304/SSANG YONG KORANDO,n,nacp_c506ef04-01ec-4192-8b67-b7d3fd691de2,122507,2705,5676,0
Цвігун Борис Ярославович,21,"Головний лікар, Міська поліклініка №1",LEXUS LX 470,n,nacp_19a6f3ca-a674-4a5b-9690-93460cc7c1f8,2927954,2673,6639,62563784
Хорошевський Сергій Миколайович,25,"Водій, Новопсковська районна державна лікарня ветеринарної медицини",null,n,nacp_40877387-be0e-47b4-b4d8-e3aa91148e64,43130,2672,135777,0
Задорожна Галина Петрівна,25,"ЛІКАР ВЕТЕРИНАРНОЇ МЕДИЦИНИ - ЕПІЗООТОЛОГ, СВАТІВСЬКА РАЙОННА ДЕРЖАВНА ЛІКАРНЯ ВЕТЕРИНАРНОЇ МЕДИЦИНИ",null,n,nacp_6f458374-8415-4bc6-b988-16a8c94ef7a6,57060,2572,92566,0
Кондратюк Любов Олександрівна,20,"Завідувач пункту - лікар ветеринарної медицини, Нововоронцовська районна державна лікарня ветеринарної медицини",null,n,nacp_44609718-1a0f-4e44-9d7b-325a066e4d95,68646,2557,10000,0
Вислоцька Галина Михайлівна,22,"Помічник сімейного лікаря, Чортківська КРЦ ПММСД",TOYOTA LAND CRUISER 3.0/ПР KOGEL/FORD KUGA/КАМАЗ 5320/SUZUKI GRAND VITARA/CLAAS DOMINATOR 106/JCB 531-70/JOHN DEERE 9640j WTS/DAF 95XF430/БЕЛАРУС 892/ВАЗ 211440-110-42,n,nacp_e78ea8fd-d62e-4906-8088-275dd96e53f0,1069503,2433,18738,100000
Волошин Марія Юріївна,13,"В.о завідуюча Нижньоворітської дільничної лікарні ветеринарної медицини, Воловецька районна державна лікарня ветеринарної медицини",volkswagen vento/МТЗ-80 Трактор колісний,n,nacp_09e78c92-678c-4bc0-99c2-708ca635d1da,83173,2400,0,0
Стрекалов Володимир Степанович,7,"Завідуючий дільницею, Єланецька районна державна лікарня ветеринарної медицини",null,n,nacp_845216f9-d68a-47e7-8386-74311531910f,83894,2364,104964,0
Данко Леон Леонович,13," ГОЛОВНИЙ ЛІКАР СОЛОТВИНСЬКОЇ ОБЛАСНОЇ АЛЕРГОЛОГІЧНОЇ ЛІКАРНІ, СОЛОТВИНСЬКА ОБЛАСНА АЛЕРГОЛОГІЧНА ЛІКАРНЯ",NISSAN  PATROL 2.8 TD,n,nacp_6ab53c06-b77e-4c95-a6ca-7ca19a5ff631,166573,2236,0,0
Кузик Ольга Василівна,19,"Головний лікар, Калуський протитуберкульозний диспансер",Mercedes-Benz 300 D/Opel Astra/Mercedes-Benz E 220 CDI,n,nacp_79cb8288-032f-4129-920d-5e7c25face84,1143229,2221,2923,608053
Віннікова Лариса Миколаївна,9,"Завідуюча лабораторії ветеринарно-санітарної експертизи, Ємільчинська районна державна лікарня ветмедицини",mitsubishi,n,nacp_7804161a-c1df-45f1-bd61-0b1ff85fd6db,0,2178,0,0
Григорчук Андрій Андрійович,5,"Завідувач пункту-лікар ветмедицини, Крижопільська районна державна лікарня ветеринарної медицини",КАМАЗ 55102/Skoda супер седан В,n,nacp_6c886132-3184-4acd-a02a-2e6ea2bfb54f,233276,2165,13900,0
Артим Євгена Олексіївна,21,"Завідуюча відділом по підготовці матеріалів лабораторного дослідження при Городоцькій РДЛВМ, Городоцька района державна лікарня ветеринарної медицини",Т-150К/ВАЗ 2107/SHZK Турист/HYUNDAI H200,n,nacp_d5f73ee1-16a6-43c5-a6b3-c13efe37d3f8,120232,2141,137554,0
Стратюк Олександр Анатолійович,10,"Головний лікар, Острозький районний центр первинної медичної ( медико-санітарної ) допомоги",Т25,n,nacp_41186681-37ed-4c0e-a9f1-f32e0a4f0b72,191517,2140,3500,0
Сітенко Тарас Олександрович,1,"Лікар ортопед-травматолог, Державна установа ""Інститут патології хребта та суглобів імені професора М.І.Ситенка Національної академії медичних наук України"" ",LEXUS GX460/VW Touareg NF/SKODA SUPERB,n,nacp_605e748f-38f6-48e1-a5ae-38327cadd04e,75672351,2103,47942,120689243
Дудука Сергій Васильович,1,"Головний лікар, Комунальний заклад охорони здоров'я ""Харківська міська стоматологічна поліклініка №5""",TOYOTA HIGHLANDER,n,nacp_46e5a97a-5207-4b33-a30a-539982ef7334,337208,2055,2000,271909
Лисенко Анатолій Миколайович,12,"Провідний лікар, Підприємство Броварська районна державна лікарня ветеринарної медицини",ЗАЗ TF55Y0/PEUGEOT PARTNER/Трактор ХТЗ 3512,n,nacp_11310120-ed64-4f06-99d2-85d29ce412ee,178347,2000,25910,0
Лисенко Марина Валеріївна,12,"В.о. директора Броварської районної державної лабораторії ветеринарної медицини, лікар ветмедицини, Броварська районна державна лікарня ветеринарної медицини",ЗАЗ TF55Y0/Peugeot Partner/Трактор ХТЗ 3512,n,nacp_9ccef41d-e514-4f5c-a0e7-6b1ee4377fe2,178347,2000,25900,271909
Товарницький Роман Миколайович,10,"Головний лікар, Костопільська центральна районна лікарня",HYNDAI ACCENT/LEADER ML500-ATV,n,nacp_f3506ce2-5077-464c-a000-55ed7be581a6,265574,1984,10847,0
Євчук Сергій Іванович,18,"Начальник лікарні, Камінь-Каширська районна державна лікарня ветеринарної медицини",ВАЗ 21104,n,nacp_33747632-11a2-4d36-bea3-43d956491a2c,147608,1978,4497,0
Килімник Леся Анатоліівна,5,"Головний лікар, Комунальна установа ""Крижопільський районний медичний центр первинної медико-санітарної допомоги""",NISSAN QASHQAI,n,nacp_9de1da0c-e49c-453c-95c8-6dba266b1339,539080,1968,3405,0
Духневич Лариса Петрівна,18,"Головний лікар, Комунальний заклад ""Луцька міська клінічна лікарня""",Hyundai Santa Fe/ПВ 05-02 Софіт/Нептун-3,n,nacp_a9c3c238-b32f-4dc5-8b33-92300f5e055a,841696,1943,3279,203689
Шахраюк Андрій Федорович,4,"Завідуючий, лікар ветеринарної медицини ветеринарного пункту, Маріупольська міська державна лікарня ветеринарної медицини",АЗЛК 2140,n,nacp_6b22632d-0872-4792-a5b9-bf29768c4530,87450,1861,65288,120000
Лебедка Олена Вікторівна,17,"Провідний лікар ветеринарної медицини, Південна регіональна служба Держветсанконтролю",null,n,nacp_b0245a0c-fe85-49f7-a815-4223556cbc7c,131460,1834,45972,0
Кущ Любов Іванівна,24,"Головний бухгалтер, Петрівська районна державна лікарня ветеринарної медицини ",ЗАЗ ДЕО1300/XT P81024,n,nacp_a4c4de76-895d-43cd-9e57-1b16c3593a60,188870,1815,40300,0
Крушельницький Зіновій Володимирович,22,"Заступник директора по ветеринарно-санітарній експертизі, лікар-ветмедицини, завідувач відділу організації роботи лабораторій ветеринарно-санітарної експертизи на ринку, Тернопільська регіональна державна лабораторія ветеринарної медицини",HONDA CR-V,n,nacp_cf0bd336-320c-4126-8e30-a613209726f9,498282,1796,38526,150000
Онисько Надія Степанівна,13,"Головний лікар, Виноградівська районна лікарня",Міцубісі Кольт,n,nacp_d5af1a92-edba-4334-90bb-6d2b9c867f51,292901,1749,616,0
Куртєв Дмитро Петрович,11,"Ветеринарний лікар, Одеська регіональна служба державного ветеринарно-санітарного контролю та нагляду на державному кордоні та транспорті",ММВЗ Минск 3113/ваз 21122/ТАРЗ  1П ОО/Ваз 2109,n,nacp_40662aea-23d6-42b1-bd42-47deb6eb6aff,71163,1735,0,0
Лісуха Любов Григорівна,6,"Головний спеціаліст Адміністративного відділу, Державна служба України з лікарських засобів та контролю за наркотиками",null,n,nacp_69ba57a9-e933-4090-a523-689ffa5a4230,180605,1700,7500,0
Галкін Віталій Вікторович,14,"Виконуючий обовязки завідуючого лабораторії, Камянсько-Дніпровська районна дільнична лікарня ветеринарної медицини",ЗАЗ-Daewo Т 13110,n,nacp_2aa9ea81-3f1c-4792-bc7f-809e6ee31e01,129032,1479,1441,0
Підкуйко Наталія Вікторівна,8,"Головний лікар, КЗ""Криворізький дитячий санаторїй""ДОР""",Mazda 323,n,nacp_5e869668-dfec-4c01-8aec-0e2d0ce5b182,108969,1474,72900,0
Олійник Юрій Іларійович,2,"Головний лікар, 5та комунальна стоматологічна поліклініка міста Львова",Nissan Juke/Renault Megane/Lexus GX 470/HYUNDAI SANTA FE/Mazda CX 7,n,nacp_92734471-fe0a-41a7-8dbc-8334ed130fd6,555774,1448,8790,0
Халаімов Сергій Володимирович,4,"Головний лікар, Міська стоматологічна поліклініка м.Торецька",null,n,nacp_490d8b07-ebc0-4c9a-89a6-ae23bd3dc1ec,70331,1437,0,0
Плотнікова Анна Володимирівна,25,"Лікар-епізоотолог, Новопсковська районна державна лікарня ветеринарної медицини",null,n,nacp_cb03f12a-e45b-484e-afcd-254e48dc7266,19809,1436,0,0
Бєлоусов Микола Михайлович,20,"Начальник, Нововоронцовська районна державна лікарня ветеринарної медицини ",Skoda Fabia Classic,n,nacp_c172f5cc-f5cc-443a-a9b0-0361cd09d8b7,99475,1376,191170,0
Гичка Назарій Михайлович,2,"Головний лікар, Київський міський пологовий будинок №3",Toyota Camry/Skoda Superb/Lexus RX 350,n,nacp_132bb5bf-ebb9-4d83-a5ee-84e379b37c84,80910208,1370,0,84852558
Каденко Олег Анатолійович,21,"Головний лікар, Хмельницький обласний шкірно-венерологічний диспансер",Toyota Land Cruiser 150/Mitsubishi Pajero,n,nacp_6120c173-0f01-47ee-993c-f32f6c3b4540,868119,1345,9459,4370671
Шкробот Володимир Васильович,22,"Головний лікар, Тернопільська обласна комунальна клінічна психоневрологічна лікарня, адміністрація",LEXUS RX350,n,nacp_d023f53f-a016-4801-8ad8-fcf34895c696,1595433,1343,5941,2463290
Ушкевич Богдан Аркадійович,6,"Головний лікар, Київська міська клінічна лікарня №11 Дніпровського району м.Києва",MAZDA модель-6/GEELY JL7162,n,nacp_8fbbc5d6-f203-4763-9ad0-f1c8769c8997,558973,1317,0,0
Пустовіт Валентина Яківна,17,"Головний лікар, КЛПЗ СОР ""Шосткинський обласний дитячий протитуберкульозний санаторій""",CITROEN C3 Picasso,n,nacp_4ecc93f5-36e6-426d-9301-a4042170f8be,443063,1306,43,460697
Бігарі Наталія Володимирівна,12,"Завідуюча 4 терапевтичним відділенням; депутат Київської обласної ради 7 скликання, КЗ БМР Білоцерківська міська лікарня №2",КАМАЗ 55102/КАМАЗ 55111 КТА 25/Lexus LX 570/FORD Tranzit/Урал 375/Chevrolet Lacetti/ГКБ 8350,n,nacp_69e920d4-fe79-4ee3-96d3-ededdd252d4b,129759,1303,8003,9840514
Дубінець Тамара Іванівна,7,"Головний лікар, Комунальний заклад Миколаївської міської ради Центр первинної медикосанітарної допомоги № 2",null,n,nacp_cd9aed58-8100-4905-a549-e04647edd4a0,198397,1293,0,156872
Настенко Галина Францівна,5,"Заступник ректора з економічних питань, Вінницький національний медичний університет ім. М.І.Пирогова",null,v,nacp_66bfbce4-1019-40c5-a5bd-3456eb76a8a4,325002,3096,1506,86544
Цьока Іван Степанович,13,"Помічник ректора, УжНУ",Мт 11 Днепр Днепр/Ssang yong korando Korando,v,nacp_51747c12-6865-4d1e-be71-bcc1a03f7a0d,204325,944,1,0
Яремко Юрій Іванович,20,"В.о. ректора, ДВНЗ Херсонський державний аграрний університет",subaru  forester,v,nacp_a768755f-aad8-4dc9-bfcc-65a2e02c7aff,383305,893,45295,911734
"Лук'яненко Дмитро Григорович",6,"В.о. ректора, Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",VOLKSWAGEN TIGUAN/INFINITI M45/TOYOTA PRADO,v,nacp_00ecab86-cf25-459a-ad59-03718657830e,663999,576,5224,0
Дмитренко Анатолій Семенович,19,"Заступник ректора з адміністративно-господарської роботи, Державний вищий навчальний заклад Івано-Франківський національний медичний університет",Skoda Superb,v,nacp_4d5e5252-31f1-45c0-85ee-813cd83cd79b,462613,421,935,146915
Тутік Лариса Іонівна,6,"Виконуючий обов'язки ректора, ТОВ ""Київський інститут банківської справи""",Москвич 2141/БМВ 520/Nissan X-trail,v,nacp_05c61e54-61d1-45b0-bf19-662dd7069c86,217000,396,0,0
Ляшок Ярослав Олександрович,4,"В.о. ректора, Донецький національний технічний університет",OPEL Astra,v,nacp_d18a8014-8540-4fea-b683-84f5bb297137,507305,325,0,222230
Вороненко Юрій Васильович,6,"Професор кафедри управління охороною здоров'я; ректор з 20.01.2017 р., член Президії Національної академії медичних наук України, Національна медична академія післядипломної освіти імені П.Л. Шупика",Фольксваген Туарег,v,nacp_1e138d13-3668-4cfb-863e-689b12fe21dc,576405,324,2221,1885638
Іващук Тетяна Володимирівна,3,"Заступник ректора з економічних питань , ВДНЗ Буковинський державний медичний університет",рено колеос,v,nacp_9f408ffc-87a0-4379-b728-39eba3311fa6,2404682,312,1652,1648218
Шевченко Олександра Теодорівна,15,"Заступник ректора з навчально-методичної роботи, Черкаська медична академія",Hundai  Hetz/Hundai Sonata,v,nacp_85ba3204-d9e4-46ab-9f87-0aeaf3c21f4e,259401,295,2300,544334
Казарін Володимир Павлович,27,"В.о. ректора, Таврійський національний університет імені В.І. Вернадського",Волга ГАЗ-24-10/ГАЗ-69А,v,nacp_336a168f-0664-4d25-bb8c-b59b5f1d4090,3537546,294,613,0
Поліщук Віктор Вікторович,23,"Заступник ректора з міжнародних зв""язків, Вищий державний навчальний заклад України ""Українська медична стоматологічна академія""", Крим/MITSUBISHI L 200// Днепр/MITSUBISHI PAJERO,v,nacp_187cc80d-b289-406e-823d-e8ec0774f321,363675,269,7937,0
Несух Людмила Михайлівна,13,"В.о. ректора, Товариство з обмеженою відповідальністю ""Вищий навчальний заклад Східно-європейський слов'янський університет""",null,v,nacp_f09261da-f6c7-43c4-a21b-12a15f8c4645,194261,266,6527,0
